Employee_ID,Hire_Date,Last_Promotion_Date,Last_Login_Timestamp,Department,Job_Role,Job_Level,City,Education,Work_Mode,Marital_Status,Membership_Type,Age,Base_Salary,Performance_Rating,Training_Hours,Overtime_Hours,Projects_Count,Absenteeism_Days,Employee_Comment,Customer_Review,Notes_Raw_Data,Satisfaction_Score,Attrition_Flag
E100000,2015-11-06 12:32:07,2016-08-16 12:32:07,2025-10-19 09:58:14,Operations,Lead,3,Mumbai,Bachelors,Hybrid,Single,Silver,46,1062189.0,3.1,47,33,4,4,"Training was helpful, want more advanced sessions.",Amazing service! Fast delivery 😊,N/A###$$$,79.5,0
E100001,2022-05-08 01:54:35,2022-10-23 01:54:35,2025-10-02 19:18:32,Finance,Analyst,1,Delhi,Masters,Onsite,Married,Silver,39,640935.0,2.3,2,32,7,3,"Training was helpful, want more advanced sessions.",Not satisfied. Product arrived damaged.,###REF!@#$$,63.0,0
E100002,2021-03-20 01:17:47,2021-10-05 01:17:47,2025-11-09 07:04:38,IT,Analyst,4,Pune,Masters,Remote,Single,Diamond,24,1016784.0,3.1,56,31,3,9,Communication from leadership is excellent!,Worst experience ever!!! 😡😡,$$$ERROR_404!!!,59.4,1
E100003,2019-03-03 00:43:49,2023-12-11 00:43:49,2025-11-09 02:44:48,Finance,Manager,4,Chennai,Masters,Onsite,Married,Silver,52,1248205.0,2.2,39,40,7,5,Promotion process feels slow…,Worst experience ever!!! 😡😡,###@!@!@###,56.5,1
E100004,2019-02-10 16:43:26,2023-09-30 16:43:26,2025-11-02 23:13:56,HR,Engineer,3,Pune,Bachelors,Hybrid,Single,Gold,54,904191.0,3.7,0,55,2,2,"Training was helpful, want more advanced sessions.",Loved the packaging and quick response time.,$$$ERROR_404!!!,46.9,0
E100005,2023-02-25 14:49:19,2025-12-01 00:00:00,2025-09-08 15:35:14,Finance,Senior Engineer,2,Delhi,Masters,Hybrid,Single,Diamond,41,1148941.0,3.5,50,11,1,0,"Training was helpful, want more advanced sessions.",Amazing service! Fast delivery 😊,**##FAIL##**_X,100.0,0
E100006,2015-10-26 01:25:38,2016-04-10 01:25:38,2025-10-20 15:24:56,Sales,Analyst,1,Hyderabad,PhD,Hybrid,Married,Gold,22,938449.0,3.0,1,12,4,12,Great team culture 😊,Worst experience ever!!! 😡😡,@@NULL##DATA@@_TMP,70.9,0
E100007,2021-08-15 11:20:08,2022-03-13 11:20:08,2025-11-04 11:04:34,IT,Engineer,4,Bengaluru,Bachelors,Hybrid,Married,Silver,35,1296857.0,3.1,25,12,3,6,Need better tools and clearer priorities.,Fantastic! Five stars ⭐⭐⭐⭐⭐,@@NULL##DATA@@_final,67.3,0
E100008,2016-11-29 16:42:44,2018-07-26 16:42:44,2025-12-09 18:09:14,Operations,Senior Engineer,4,Hyderabad,Bachelors,Onsite,Married,Silver,45,634473.0,3.7,55,55,8,8,"Manager is supportive, but workload is high.",Not satisfied. Product arrived damaged.,###REF!@#$$,65.2,0
E100009,2015-11-23 14:34:08,2019-01-22 14:34:08,2025-10-26 04:25:08,HR,Lead,3,Chennai,Bachelors,Hybrid,Single,Bronze,46,897946.0,2.4,65,5,4,13,Great team culture 😊,Loved the packaging and quick response time.,!!##DIV/0##!!_final,84.6,0
E100010,2019-12-31 19:53:54,2021-12-08 19:53:54,2025-10-06 23:38:18,Marketing,Senior Engineer,4,Bengaluru,Bachelors,Onsite,Married,Bronze,30,1068290.0,3.3,33,1,4,1,"Work-life balance is okay, could improve.",Loved the packaging and quick response time.,%%OK%%^&*(),99.6,0
E100011,2024-04-06 10:59:58,2025-12-01 00:00:00,2025-10-29 08:35:54,Operations,Manager,4,Bengaluru,Masters,Onsite,Married,Bronze,49,852397.0,3.7,64,9,4,14,Remote setup works well for me.,Will definitely recommend to others.,!!##DIV/0##!!,89.9,0
E100012,2021-12-26 14:08:28,2023-01-25 14:08:28,2025-09-19 14:38:00,HR,Manager,3,Delhi,Bachelors,Hybrid,Married,Gold,53,1188055.0,2.0,67,46,3,10,Remote setup works well for me.,Fantastic! Five stars ⭐⭐⭐⭐⭐,**##FAIL##**_backup,48.5,0
E100013,2022-03-24 15:10:46,2025-12-01 00:00:00,2025-09-10 12:33:08,Sales,Engineer,1,Pune,Masters,Remote,Married,Bronze,38,791990.0,3.7,35,34,9,9,Communication from leadership is excellent!,Fantastic! Five stars ⭐⭐⭐⭐⭐,N/A###$$$,64.9,0
E100014,2021-10-24 05:04:07,2023-08-23 05:04:07,2025-11-11 04:47:49,IT,Engineer,5,Hyderabad,Bachelors,Hybrid,Married,Silver,34,1417343.0,2.0,13,55,7,6,"Training was helpful, want more advanced sessions.",Will definitely recommend to others.,!!##DIV/0##!!_X,43.5,0
E100015,2022-06-19 01:42:15,2022-12-25 01:42:15,2025-12-13 13:10:56,IT,Senior Engineer,3,Hyderabad,Bachelors,Remote,Married,Bronze,39,1430549.0,3.1,52,12,2,10,Need better tools and clearer priorities.,Fantastic! Five stars ⭐⭐⭐⭐⭐,N/A###$$$_backup,79.5,0
E100016,2019-11-15 20:52:26,2023-12-24 20:52:26,2025-11-28 19:56:20,Marketing,Analyst,4,Bengaluru,Bachelors,Hybrid,Single,Gold,22,970518.0,2.4,1,23,2,3,Promotion process feels slow…,Amazing service! Fast delivery 😊,**##FAIL##**,55.9,0
E100017,2016-03-20 07:09:13,2021-03-05 07:09:13,2025-11-01 06:49:40,Operations,Lead,5,Delhi,Masters,Hybrid,Single,Gold,39,1038150.0,4.2,71,33,1,4,Communication from leadership is excellent!,Worst experience ever!!! 😡😡,###REF!@#$$,70.5,1
E100018,2022-12-22 05:55:28,2023-03-20 05:55:28,2025-09-05 05:26:21,IT,Manager,2,Mumbai,Masters,Hybrid,Married,Bronze,22,1197918.0,2.4,31,4,3,14,Remote setup works well for me.,Worst experience ever!!! 😡😡,~~CORRUPT~~@@@_v2,75.5,0
E100019,2019-04-11 22:31:20,2021-10-04 22:31:20,2025-12-13 17:41:13,HR,Engineer,4,Delhi,Bachelors,Remote,Single,Gold,23,603201.0,2.0,60,55,6,4,Remote setup works well for me.,Not satisfied. Product arrived damaged.,###@!@!@###,58.4,0
E100020,2019-10-02 05:17:26,2024-04-22 05:17:26,2025-10-18 05:04:27,HR,Senior Engineer,1,Bengaluru,Masters,Hybrid,Single,Gold,40,572000.0,3.3,58,48,9,10,Promotion process feels slow…,Not satisfied. Product arrived damaged.,###REF!@#$$,50.1,0
